nct_id,brief_title,official_title,brief_summary,detailed_description,overall_status,why_stopped,start_date,completion_date,primary_completion_date,study_type,phases,allocation,intervention_model,masking,primary_purpose,enrollment_count,enrollment_type
NCT00887094,"Aerobic Training, Aerobic-resistance Training and Glucose Profile (CGMS) in Type 2 Diabetes",Acute and Subacute Effects of Aerobic Training vs Aerobic/Resistance Training Upon Glucose Profile Evaluated Through Continuous Glucose Monitoring System in Type 2 Diabetes,"Many studies were already performed showing beneficial cardiovascular and metabolic effects of physical training for type 2 diabetic patients. However, glucose profile during and immediately after a short period of aerobic and/or resistance training was not studied yet. Continuous glucose monitoring system (CGMS) has now been added to the repertoire of technological devices useful in the management of patients with diabetes. Such monitoring enables clinicians to detect occult hypoglycemia and hyperglycemia not otherwise discernable with intermittent testing of blood glucose. The main aim of the present study is to investigate continuous blood glucose profile (using CGMS) over 72h, beginning 24h before and ending 24h after a single bout of aerobic or aerobic/resistance physical training in type 2 diabetic patients.","Many studies were already performed showing beneficial cardiovascular and metabolic effects of physical training for type 2 diabetic patients. However, glucose profile during and immediately after a short period of aerobic and/or resistance training was not studied yet. Continuous glucose monitoring system (CGMS) has now been added to the repertoire of technological devices useful in the management of patients with diabetes. Such monitoring enables clinicians to detect occult hypoglycemia and hyperglycemia not otherwise discernable with intermittent testing of blood glucose. The main aim of the present study is to investigate continuous blood glucose profile (using CGMS) over 72h, beginning 24h before and ending 24h after a single bout of aerobic or aerobic/resistance physical training in type 2 diabetic patients.",COMPLETED,,2009-06,2011-04,2011-03,INTERVENTIONAL,NA,RANDOMIZED,PARALLEL,NONE,TREATMENT,14,ACTUAL
NCT03285594,Efficacy and Safety of Sotagliflozin Versus Placebo in Participants With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control While Taking Insulin Alone or With Other Oral Antidiabetic Agents,"A Randomized, Double-blind, Placebo-controlled, Parallel-group, 52-week Multicenter Study to Evaluate the Efficacy and Safety of Sotagliflozin in Patients With Type 2 Diabetes Who Have Inadequate Glycemic Control on Basal Insulin Alone or in Addition to Oral Antidiabetes Drugs (OADs)","Primary Objective:

To demonstrate the superiority of sotagliflozin 400 milligrams (mg) versus placebo with respect to hemoglobin A1C (HbA1c) reduction in participants with type 2 diabetes mellitus (T2D) who have inadequate glycemic control on basal insulin alone or with oral antidiabetes drugs (OADs).

Secondary Objectives:

* To assess the effects of sotagliflozin 400 mg versus placebo on fasting plasma glucose (FPG), body weight, systolic blood pressure (SBP), and HbA1c.
* To assess the effects of sotagliflozin 200 mg versus placebo on HbA1c, body weight, FPG, and SBP.
* To evaluate the safety of sotagliflozin 400 and 200 mg versus placebo.","Up to 60 weeks (Screening phase of up to 2 weeks, a 4-week Lantus titration/single-blind placebo Run-in phase), a 52-week double blind Treatment Period, and a 2-week post-treatment Follow-up Period.",COMPLETED,,2017-09-15,2019-09-27,2019-09-17,INTERVENTIONAL,PHASE3,RANDOMIZED,PARALLEL,DOUBLE,TREATMENT,571,ACTUAL
NCT01868594,Clinical Trial of Efficacy and Safety of Subetta in the Combined Treatment of Patients With Type I Diabetes Mellitus,Multicentre Double-blind Placebo-controlled Parallel-group Randomized Clinical Trial of Efficacy and Safety of Subetta in the Combined Treatment of Patients With Type I Diabetes Mellitus,"The purpose of this study is:

* to assess clinical efficacy of Subetta in the combined treatment of type I diabetes mellitus;
* to assess safety of Subetta in the combined treatment of type I diabetes mellitus.","Patients with type I diabetes mellitus are included in the trial. It is concerned those patients, who by the time of the trial receive basal bolus insulin therapy of type I diabetes mellitus, including basal insulin (using long acting medications) and prandial insulin (short and ultra short acting medications), and with poor glycemic control (HbA1c=7.0-10.0%). For patients, which will be included in the trial (mainly middle aged patients without severe complications of diabetes), HbA1c\>7.0% is the marker showing that optimal individual goal of glycemic control is not achieved.

HbA1c, fasting plasma glucose, microalbuminuria, estimated glomerular filtration rate, ophthalmoscopy, blood pressure measurement, patient self-monitoring of blood glucose, frequency of hypoglycemia, endocrinologist examination were performed within screening period. Patients without severe diabetes complications are randomized in 2 groups.

If a patient meets inclusion criteria and does not show exclusion criteria he/she is randomized in one of 2 groups: Group 1 - patients receiving standard type I diabetes mellitus therapy + Subetta at a dose of 1 tablet 4 times a day; Group 2 - the group receiving standard type I diabetes mellitus therapy + Placebo under the regimen used for Subetta. The invented names of the drugs containing basal and prandial (meal) insulin should be unchanged for each patient during the whole trial.

All patients will receive glucometers and the appropriate glucose test strips, so they could self monitor blood glucose and register this data in their diaries.

The trial duration is 38 weeks; the main stages of the trial are conducted during screening, then in 4 weeks (Visit 2), in 12 weeks (Visit 3), in 24 weeks (Visit 4) and in 36 weeks (Visit 5). In 1 week after randomization and the onset of the trial therapy and between the visits to the study site (on weeks 8±1, 18±1 and 30±1) an investigator collects data on patient's health and complaints (phone visits) to decide whether it is necessary to arrange unplanned visit to the site.",COMPLETED,,2013-05-07,2016-07-10,2016-07,INTERVENTIONAL,PHASE4,RANDOMIZED,PARALLEL,QUADRUPLE,SUPPORTIVE_CARE,200,ACTUAL
NCT06375694,Probiotic Effect on Dietary Nitrate to Plasma Nitrite Production ( OPEDNPN ),Oral Probiotic Effect on Dietary Nitrate to Plasma Nitrite Production,"Nitric Oxide (NO) is an important molecule that is produced naturally in the body and that helps maintain healthy blood flow. Low availability of NO contributes to many diseases while administration of NO is therapeutic.

In addition to being made naturally in the body, NO can be obtained through the diet via the Nitrate-Nitrite-NO cycle. Nitrate, which is abundant in green leafy vegetables and beetroot juice, is partially converted to nitrite by oral bacteria. The nitrate and nitrite are taken up into the blood and nitrite is converted into NO. Remaining nitrate in the blood is taken back up into the mouth by salivary glands and the cycle continues. Emerging studies suggest that the Nitrate-Nitrite-NO cycle may contribute to cardiovascular health. In addition, there have been many studies where dietary nitrate is given to increase NO and treat various conditions.

The current study rests on the premise that the quality of the oral microbiome plays a major role in the Nitrate-Nitrite-NO cycle and hence cardiovascular health and the efficacy of dietary nitrate interventions. Investigators have begun to identify oral bacterial species that are effective nitrite producers as well as though that are nitrite depleters (those that interfere with nitrite production from nitrate).

In laboratory experiments, certain bacterial species have been shown to block nitrate to nitrite conversion by other oral bacteria. These nitrite depleting species are found in a commercially available oral probiotic designed to improve oral health. The purpose of this study is to examine if use of the probiotic negatively affects the Nitrate-Nitrite-NO cycle. Nitrate to Nitrite conversion will be assessed by measuring plasma levels of nitrite before and after consumption of nitrate-rich beetroot juice. Dietary nitrate to plasma nitrite conversion will assessed at baseline and after one week of consumption of the probiotic or a placebo (follow-up). The primary hypothesis of this study is that participants that consume the probiotic will have lower nitrate to nitrite conversion at follow-up compared to baseline and that there will be no significant change in nitrate to nitrite conversion between baseline and follow-up for participants who consume the placebo.

While this study does not aim to treat any specific disease, it is intended to elucidate a basic physiological function that may be relevant to cardiovascular health and certain NO-based therapeutics.","Background

Nitric oxide (NO) plays critical roles in a myriad of cellular and molecular mechanisms regulating physiology and function of various organs and systems.1,2 Low NO bioavailability contributes to pathology in multiple diseases including hemolytic anemias,3 malaria,4,5 transfusion of older stored blood,6,7 chronic heart failure,8 atherosclerosis,9 and diabetes.10 Recent reports suggest that the oral microbiome is linked with regulating NO homeostasis through the action of certain bacteria that have an ability to reduce nitrate to nitrite.11-15 Nitrite is then further reduced to NO through a variety of mechanisms in different tissues.16,17 Plasma nitrate is taken up back into the oral cavity by salivary glands so that the nitrate-nitrite-NO cycle provides sustained increases in NO bioavailability. Many clinical studies have used dietary nitrate as a source of NO through nitrite conversion.18-24 However, there is substantial variability in the clinical outcomes due to dietary nitrate intake and this is reflected in variability in the amount of nitrate converted to plasma nitrite.13,24-29 30. The variability and hence a large overall limitation in efficacy of dietary nitrate based treatments has been attributed to the capacity of the oral microbiome to reduce nitrate to nitrite.24-27 Preliminary work has begun to identify bacterial strains that are efficient nitrate to nitrite converters as well as those that actually inhibit nitrate to nitrite conversion.31,32 The efficiency of the nitrate-nitrite-NO cycle and the role of oral bacteria may contribute to normal health.11 Thus, understanding the variability in nitrate to nitrite conversion and aspects of the oral microbiome could lead to improvements in normal cardiovascular health. In addition, in order to maximize benefits from dietary nitrate interventions, we need to understand factors of the oral microbiome that affect nitrate to nitrite conversion. The investigators have recently discovered that several species of Lactobacillus produce a metabolite that blunts nitrate to nitrite conversion by other oral bacteria in vitro. Several of these Lactobacillus species are the main component of a commercially available oral probiotic, https://www.amazon.com/Dental-Probiotics-Breath-Gingivitis-Throat/dp/B096SZSFFS

Purpose

The purpose of this study is to determine if Lactobacillus will blunt dietary nitrate to plasma nitrite conversion.

The investigators hypothesize that the presence of oral Lactobacillus will blunt the conversion of dietary nitrate to plasma nitrite and will test this by comparing the conversion before and after use of this probiotic.

The main hypothesis rests on the auxiliary hypothesis that use of the oral probiotic will results in increased abundance of Lactobacillus in the oral cavity and will test this through genomic sequencing.

Methods OPEDNPN All eligible volunteers will be consented after learning about the study and agreeing to participate. Volunteers will be randomly assigned to one of two groups: (1) Probiotic and (2) Placebo. A total of 20 volunteers (10 per group) will participate in the study. The only difference for participants for each group will be whether they receive the placebo or probiotic.

All volunteers will participate in two visits: (1) Visit 1, baseline and (2) Visit 2, follow up. At each visit, volunteers will report to the Olin Physical Lab room 208 after having fasted for 3 hours prior. They can drink water one hour before the visit. Participants will be instructed not to use anti-bacterial mouthwash the day of the visit. The participant will be asked to provide 4 mL of saliva and a study team member will collect a bacterial sample from the posterior dorsal surface of their tongue (as described below). These samples will be frozen at -80 degrees for genetic analysis and identification of bacterial strains.

After saliva and tongue samples are collected, blood will be drawn (as described below) for plasma nitrite and nitrate determination. This blood sample will be the ""pre-"" sample collected at baseline and follow-up. Volunteers will then drink one 70 mL Beet it Sport Nitrate 400 shot (https://www.beet-it.us/pages/beet-it-sports). A ""post-"" blood draw will be collected 2.5 hours after consumption of the beetroot juice.

At Visit 1, after the second blood draw, volunteers will receive 7 days worth of either probiotic or the placebo. Volunteers will consume the probiotic (or placebo) as indicated by the manufacturer of the probiotic once a day. On day 8, the volunteers will return for visit 2.

The data will include (1) baseline and follow-up analysis of oral bacterial strains and (2) Pre- and post-beet juice consumption plasma nitrite and nitrate levels. The investigators hypothesize that the abundance of Lactobacillus will be higher at follow-up compared to baseline for volunteers taking the probiotic but that there will be no change in the placebo group. The investigators also hypothesize that the change in plasma nitrite (post minus pre) will be lower at follow-up than at baseline for volunteers taking the probiotic but that there will be no change in the placebo group.

* Study Materials (all commercially available):

  1. Placebo: Honest Placebo Pills by Zeebo
  2. Herbiotics Oral + Ent Probiotic
  3. Beet it Sport Nitrate 400 shot
* Collection of Saliva and Tongue scraping. Volunteers will report to the Olin Physical Lab room 208 after having fasted for 3 hours prior. They can drink water one hour before the visit. Participants will be instructed not to use anti-bacterial mouthwash the day of the visit. The participant will be asked to provide 4 mL of saliva by spitting into a microcentrifuge tube. For the tongue samples, a HydraFlock 6"" Sterile Large Flock Swab w/Polystyrene Handle (Puritan Medical) will be used to collect scrapings. Volunteers will be asked to open their mouths as wide as possible and stick out their tongue. The posterior 1/3 of the dorsal surface of the tongue will be sampled by scraping lightly to moderately firmly the dorsal surface of the tongue back and forth Scraping will take a minute or so. The tongue scraping will be placed in 0.85 mL of buffered sterile saline and 0.15 mL glycerol. All samples will be frozen at -80°C and sent to Professor Hariom Yadav at the University of South Florida for genomic analysis.
* Blood draws and processing Blood will be drawn by a certified, trained phlebotomist. Blood samples (maximum \~10 mL) will be collected from participants following consent. Blood will be collected at each visit pre and 2.5 hours post beet juice consumption. Blood will be drawn as close to the 2.5 hour mark as possible. Realistically, it may occur between 2 to 3 hours after the final study beverage is consumed. Blood will be drawn by lab personnel with certified phlebotomy training via standard venipuncture methods or Tasso HemolinkTM device. The HemoLinkTM is an FDA-approved blood collection device that uses small lancets and gentle suction to collect a very small sample (\~ ¼ teaspoons) of blood. Blood will be collected in standard blood collection tubes (e.g. citrate (blue-top), EDTA (purple-top) and heparin (green-top)) and labeled appropriately. The preferred tube is a 4 mL heparin tube. All blood samples drawn for research purposes will be identified by the study participant number and date/time of collection, which will also be recorded on the standardized data collection form. No personal identifying information will be included on the samples processed for research purposes. All blood samples will be immediately spun immediately in a centrifuge at 600-800g for five minutes and the supernatant collected. The plasma will be frozen on dry ice and then stored at -80°C for analysis of nitrite and nitrate content.
* Probiotic or placebo consumption Both the probiotic and placebo will be consumed twice a day according to instructions for the probiotic. One capsule is chewed or allowed to melt in the volunteer's mouth and then the contents are switched around in the mouth before being swallowed.

Risks Approximately 10 mL of blood will be drawn from patients willing to participate. This will be done in the usual fashion, preparing the venipuncture site with the local anesthetic EMLA, then drawing blood through a small gauge (23 or 21) butterfly needle. Drawing blood from a vein may be associated with discomfort or bruising at the site of needle puncture. Rarely, fainting or infection at the site of needle puncture may occur. All blood will be drawn from a person trained in phlebotomy. There will be no way to trace the blood back to the donor.

There are no known health risks for donating saliva or tongue scrapings from individuals who will be included in the study. There is a very minimal risk of linking individuals to the study. There will be no way to trace the saliva or tongue scrapings back to the donor.

Protections Against Risk Strategies for protection against risk. To protect privacy of participants and confidentiality of research data, no personal information regarding individual participants will be linked to the in vitro studies.

Plans for medical attention. In case of injury (which is extremely unlikely) as a result of saliva donation, the individuals will be instructed to contact their physician and medical care will be offered and charged to available research coverage maintained at Wake Forest School of Medicine.

In case of injury as a result of blood drawing, the patients will be instructed to contact their physician and medical care will be offered and charged to available research coverage maintained at Wake Forest School of Medicine. Blood drawn on the Reynolda campus is not a clinical setting, but blood will be drawn by trained phlebotomists with years of experience who maintain their training.

Any unanticipated problems, serious and unexpected adverse events, deviations or protocol changes will be promptly reported by the principal investigator or designated member of the research team to the IRB and sponsor or appropriate government agency if appropriate.

Incidental Findings. No incidental findings are expected to be discovered in this study as measures of bacterial nitrate reduction are not currently of clinical relevance so a strange, individual result in that measure would not be worth communicating.

Sample size assessment and statistical analysis

The investigators plan to enroll 10 participants who receive the probiotic and 10 participants who receive the placebo. The investigators hypothesize that, using a paired t-test, participants taking the probiotic will have significantly (P \< .05) lower change in plasma nitrite (post minus pre) at follow up compared to baseline while there will be no significant effect of the placebo (paired t-test).

The Investigators calculated that they would have 80% power to measure a 75% decrease in the change in nitrite at follow-up compared to baseline for the probiotic group with 10 participants per group (Continuous endpoint Two independent samples). The investigators assumed a 60% standard deviation in the change in nitrite for follow-up vs baseline based on previous data from our lab.",RECRUITING,,2024-06-01,2025-05,2025-05,INTERVENTIONAL,NA,RANDOMIZED,PARALLEL,SINGLE,BASIC_SCIENCE,20,ESTIMATED
NCT00954694,Analysis of the NuStep as an Introductory Fitness Regimen,Assessing the Impact of an Introductory Exercise Regimen: An Analysis of the Consequent Effects of NuStep in Relation to Physical Activity and Lifestyle Adjustment in Adults With Type 1 and Type 2 Diabetes,"The purpose of this research study is to determine if participation in a fifteen week introductory exercise regimen using the NuStep by sedentary adults diagnosed with Type 1 or Type 2 diabetes will affect exercise adherence and lifestyle adjustment. This study will examine if using the NuStep encourages participants to seek other modes and facilitates interest in exercise. Age, gender, weight, height, waist-to-hip ratio, heart rate, blood pressure, 6-minute walk test, and A1C will be recorded pre, mid-point, and post-test. During each NuStep exercise session heart rate, blood pressure, blood glucose level, oxygen saturation, METs, and the Borg rate of perceived exertion will be monitored.

Associations between NuStep use and exercise adherence are investigated through the following hypothesis and null hypothesis. There is an association between using the NuStep as an introductory exercise regimen by sedentary adults diagnosed with Type 1 or Type 2 diabetes and exercise adherence. The null hypothesis states there is no association between using the NuStep as an introductory exercise regimen by sedentary adults diagnosed with Type 1 or Type 2 diabetes and exercise adherence. The primary endpoint of the study is the qualitative measurement, by use of a questionnaire, of attitude and interest toward exercise in participants by assessing if they choose to seek and perform other modes of exercise. Secondary endpoints are the quantitative measurement of the change in weight, waist-to-hip ratio, heart rate, blood pressure, 6-minute walk test, and A1C levels.",,UNKNOWN,,2009-08,2009-11,2009-11,INTERVENTIONAL,NA,NON_RANDOMIZED,SINGLE_GROUP,NONE,PREVENTION,30,ESTIMATED
NCT06662994,High Dose Aflibercept in Diabetic Macular Edema in Patients With Previous Vitrectomy,High Dose Aflibercept in Diabetic Macular Edema in Patients With Previous Vitrectomy,"Patients with diabetic macular edema (DME) sometimes must undergo vitrectomy surgery (PPV) for diabetic and non-diabetic related issues. Patients may have improved DME with anti-VEGF therapy and ranibizumab has been found to reduce central macular thickness (CMT) with anti-VEGF therapy following vitrectomy. Those patients still require intravitreal injections but the pharmacokinetics of a vitrectomized eye are different than those eyes that have not undergone vitrectomy. The clearance of protein molecules is quicker in vitrectomized eyes so these patients may be more refractory to standard of care anti-VEGF therapy. In rabbit models, the half-life of both bevacizumab and ranibizumab were reduced by a factor 1.8 and 1.3, respectively, after pars plana vitrectomy. In a study examining intravitreal triamcinolone acetonide in human eyes, the half-life was found to be 18.6 days in non-vitrectomized eyes and 3.2 days in vitrectomized eyes, but there was considerable intrasubject variation. Patients with various disease states, including neovascular age-related macular degeneration (nAMD) have been managed with monthly anti-VEGF therapy successfully after vitrectomy surgery. Another study performed by the DRCR net showed that patients with DME treated with anti-VEGF are not affected in the long term if they had had a previous vitrectomy. High dose aflibercept may improve anatomic and visual outcomes in this patient population. Also, high dose aflibercept may allow for longer treatment intervals in these vitrectomized eyes.","Patients with Diabetic Macular Edema (DME) and previous Pars Plana Vitrectomy (PPV) will be treated with a treat-extend-stop (TES) protocol that was previously published. Below is the description of the TES protocol published in the International Journal of Retina and Vitreous. This protocol was originally used in patients with neovascular age-related macular degeneration (nAMD) but it is being adapted for treatment of patients with DME in this study.

Patients were treated following the treat-and-extend-stop (TES) protocol, which is a variant to the treat-and-extend regimen. The TES treatment protocol required 3 loading injections at 4-to-6-week treatment interval. Upon clinical examination and on Optical Coherence Tomography (OCT), dosing interval was extended by 1 to 2 weeks in patients with dry macula. Any evidence of fluid on OCT and decreased vision was carefully monitored. If fluid or worsening of vision was detected, the dosing interval was reduced. After successful management of patients following decreased interval, patients were allowed to increase interval by 1 week for the next 2 to 4 injections. In patients with good response without worsening vision, but exhibiting presence of mild fluid during the initial 4 to 6 week treatment interval, the same interval was maintained. In patients with complete absence of fluid in the macula, dosing interval was extended by 1 to 2 weeks. Extension of dosing interval continued until 12 weeks was reached between visits. To avoid recurrence of fluid, patients were monitored carefully once the 12-week interval was reached. Patients who experienced deterioration of vision or increase in metamorphopsia were instructed to contact the office for earlier return visit.

In this study, patients that have had a previous vitrectomy and have DME will be treated with high dose aflibercept until fluid has resolved and then the time interval in between treatments for those patients will be extended, while maintaining a fluid-free macula.

* VEGF Trap, 8 mg is intended for intravitreal administration.
* VEGF Trap, 8 mg study drug will be provided in single-use vial
* The appearance of the vial will be in clear glass 2R vial with 13 mm West 4432/50 gray stopper with FluroTec® coatings and 13 mm royal blue flip-off seal.
* The formulation of the VEGF Trap, 8 mg is sterile, vialed VEGF Trap recombinant protein, 114.3mg/mL, in an aqueous buffered solution, pH 5.8, containing 50 mM arginine monohydrochloride, 10 mM histidine, 5% (w/v) sucrose, and 0.03% (w/v) polysorbate 20.
* Store refrigerated at 2°C - 8°C (36°F - 46°F) in the original carton to protect from light.

Visual acuity and CMT will be recorded prior to vitrectomy and prior to inclusion into the trial, after the PPV. Visual acuity and CMT will be recorded at each treatment visit. Diabetic retinopathy (DR) will also be assessed at the visit prior to inclusion using wide-field fundus photos (FP) and fluorescein angiography (FA). DR will also be assessed as a secondary endpoint at 6 months and at the one-year visit utilizing FP and FA

Study Duration

The study duration will be one-year of active treatment with high-dose aflibercept in patients with DME that have been previously vitrectomized.

Safety Reporting including SAEs, AESI and Pregnancy

Safety reports will be transmitted to post-approval surveillance, per usual protocol for phase 4 studies, including SAEs, AESIs and pregnancy. For SAEs, these will be reported to both post-approval surveillance, Regeneron and the ASRS ReST committee. SAEs would include death, cerebrovascular incidents, myocardial infarction, hospitalization and a decrease in vision over 6 lines. AESIs would include inflammatory events including uveitis and iritis, intraocular inflammation, retinal detachment/retinal tear, traumatic cataract, transient elevation in intraocular pressure requiring glaucoma surgery, or managed by greater than three new glaucoma drops. Efforts will be made to not include patients that are pregnant and those patients that are pregnant or are planning to become pregnant will be excluded.

Further safety reporting details are outlined as below. Safety Reporting i) Adverse Event Reporting. The Institution agrees that the Sponsor Investigator shall report the following safety information in connection with the Regeneron Product to Regeneron at medical.safety@regeneron.com within twenty-four (24) hours of awareness, and it shall be collected/recorded in English on the FDA MedWatch Form or other safety reporting form as applicable:

1. All Serious Adverse Events (""SAEs"") (regardless of causality) from the time of consent through 30 days of the last dose of the Regeneron Product (VEGF Trap, 8mg).

   (a) SAEs as defined by FDA 21 CFR 312.32, which includes, for the avoidance of doubt, adverse events that: (i) are life-threatening, and/or (ii) result in (A) death, (B) in-patient hospitalization or prolongation of existing hospitalization, (C) persistent or significant disability or incapacity, or (D) a congenital anomaly or birth defect; and (b) all serious and/or nonserious reports of: (i) overdose, (ii) abuse, (iii) misuse, (iv) medication error (defined as an unintended failure in the drug treatment process that leads to, or has the potential to lead to, harm to the Study subject (for example, issues related to dispensing and administration which VEGF Trap, 8 mg (Aflibercept HD) - Protocol Guidance either (A) reach the Study subject or (B) are intercepted and never reached a Study subject, but had the potential to cause harm), (v) occupational exposure and/or (vi) lack of therapeutic efficacy.

   (i) Symptomatic overdose (dose greater than 8 mg), including overdose due to medication error, i.e., error in prescription, administration, dispensing, dosage, unauthorized indication or population
2. Adverse Events of Special Interest (""AESIs"") occurring during the study (a) n/a for VEGF Trap, 8mg inflammatory events including uveitis and iritis, intraocular inflammation, retinal detachment/retinal tear, traumatic cataract, transient elevation in intraocular pressure requiring glaucoma surgery, or managed by greater than three new glaucoma drops.
3. Pregnancy. (a) Any pregnancy occurring in a female Study subject \[or female partner of a male Study subject\], during the Study or within 120 days of the last dose of the Regeneron Product. (b) Any complication of pregnancy affecting a female Study subject \[or female partner of a male Study subject\], and/or fetus and/or newborn that meets the SAE criteria. (c) Outcomes for all such pregnancies.

ii) Safety Reporting Requirements to FDA. The Sponsor Investigator will record and report safety information in accordance with the Protocol and will report safety information to the FDA or local health authority in accordance with the applicable requirements. Additionally, all reports to the FDA or local health authority shall be reported to Regeneron. A detailed narrative summarizing the course of the event, including its evaluation, treatment, and outcome should be provided on the MedWatch Form or other reporting form as may be provided by Regeneron. Specific or estimated dates of event onset, treatment, and resolution should be included, when available. Medical history, concomitant medications, and laboratory data that are relevant to the event should also be summarized in the narrative. For fatal events, the narrative should state whether an autopsy was or will be performed and include the results if available. Information not available at the time of the initial report must be documented in a follow-up report. Source documents (including hospital or medical records, diagnostic reports, etc.) shall be summarized in the narrative on the FDA MedWatch Form or other reporting form as may be provided by Regeneron retained by the Sponsor Investigator and shall be available upon request.

SAE Reporting Period:

The SAEs that are subject to this reporting provision are those that occur from time of informed consent through 30 days after discontinuation of the Regeneron product. SAEs that occur more than 30 days after discontinuation of the Regeneron product will be reported only if the investigator believes the study drug caused the AE/SAE.

Safety Reporting Mailbox: medical.safety@regeneron.com

Statistical Considerations including the sample size justification

Fifteen patients would be planned to be included in this phase 4 study. This should provide statistical power to assess visual acuity improvements and CMT decrease from baseline interval between high dose aflibercept therapy. This should also allow for enough power to compare both PK data and cytokines levels in patients, with and without vitrectomy, with DME Statistical analysis would be two-armed students paired t-testing and ANOVA testing.",RECRUITING,,2025-07-07,2027-08-15,2026-08-15,INTERVENTIONAL,PHASE4,NA,SINGLE_GROUP,NONE,TREATMENT,15,ESTIMATED
NCT00746460,The Healthy Options Feasibility Study,"The Effectiveness of CVD Risk Profiles When Used by Allied Health Care Providers (HCP) Within a ""Groupe de Médecine de Famille"": The Healthy Options Feasibility Study.","The investigators hypothesize that having health care providers other than physicians within a ""Groupe de Médecine de Famille"" conduct cardiovascular risk assessments and teach lifestyle interventions to primary prevention patients will increase the likelihood that patients will adopt and maintain healthy lifestyles. These objectives will be supported by providing subjects with a cardiovascular risk profile estimating the subject's risk of cardiovascular disease and teaching them how to use the resources related to lifestyle changes available on the www.myhealthcheckup.com Web site.",,COMPLETED,,2008-06,2009-10,2009-04,INTERVENTIONAL,NA,NA,SINGLE_GROUP,NONE,PREVENTION,50,ACTUAL
NCT02405260,Add Glucokinase Activator to Target A1c,"A Multi-Center, Adaptive Phase 2, Randomized, Double-Blind, Placebo- and Active-Controlled (Sitagliptin), Parallel Group Study to Evaluate the Safety and Efficacy of TTP399 Following 6 Months Administration in Subjects With Type 2 Diabetes Mellitus on A Stable Dose of Metformin","This trial is a multi-center, adaptive, randomized, double-blind, placebo- and active- controlled, parallel group, Phase 2 study in subjects with T2DM to evaluate the effect of TTP399 on HbA1c following administration for 6 months.",,COMPLETED,,2015-03,2016-09,2016-07,INTERVENTIONAL,PHASE2,RANDOMIZED,PARALLEL,DOUBLE,TREATMENT,190,ACTUAL
NCT04080960,Dining With Diabetes in Pennsylvania,Dining With Diabetes in Pennsylvania,"Penn State Extension's Dining with Diabetes program is an evidence-based community education program for people with or at risk for type 2 diabetes. The program teaches participants how to prevent or manage their disease by providing practical knowledge and strategies to make the necessary lifestyle changes that will lead to healthier living and reduction in the risk of complications. The overall goals and objectives of the program are as follows:

Increasing knowledge of healthy food choices for families with or at risk for diabetes Promoting behavior changes by offering demonstrations and tasting of healthy food.

Increasing knowledge of essential medical tests associated with diabetes management.

Promoting physical activity as a component of diabetes control. Encouraging self-management and self-efficacy skill. Connecting participants to their healthcare providers for long-term follow-up. The program is designed to meet 4 consecutive weeks and then a 3 month follow-up. Participants A1c and blood pressure are taking at the first and follow-up classes. Classes consist of a nutrition lesson, physical activity, cooking demonstration and food tasting.",,COMPLETED,,2019-05-01,2020-04-30,2020-04-30,OBSERVATIONAL,,,,,,200,ACTUAL
NCT02290860,Screening Type 2 Diabetes Mellitus on the 2nd Day After Delivery in Women With Gestational Diabetes Mellitus,"Screening Type 2 Diabetes Mellitus on the 2nd Day After Delivery in Women With Gestational Diabetes Mellitus - Stage 2, a Multicentre Trial.","Gestational diabetes mellitus (GDM) is defined as a hyperglycemia with onset or first recognition during pregnancy. GDM complicates 5 to 25% of pregnancies, depending on the diagnostic criteria used and the population being studied.

GDM is an important red flag: up to 70% women with GDM will develop type 2 diabetes mellitus (T2DM) during their lifetime. Accordingly, professional associations recommend T2DM postpartum screening (T2DM-pP-S), 6-to-24 weeks after delivery. A 75g oral glucose tolerance test (OGTT) should be performed for diagnosis (gold standard). Nevertheless, this T2DM-pP-S recommendation has failed worldwide for the same reasons: the presently impractical pattern of the testing. A solution is direly needed.

Our overall goal is to improve detection of pre-diabetes and diabetes and more specifically, to facilitate the recommended T2DM-pP-S in women diagnosed with GDM.

We hypothesize that, in GDM women, results of an OGTT performed after delivery, before hospital discharge (OGTT-1) predict results of the recommended OGTT at 6-to-12 weeks postpartum (OGTT-2). Our aims are:

1. To validate in Caucasian women the predictive threshold value of the 2hr-glucose of OGTT-1 established by our Stage-1 study.
2. To determine, in a multiethnic non-Caucasian cohort, the threshold value for the 2hr-glucose of OGTT-1 that is predictive of abnormal glucose tolerance at OGTT-2.
3. To define the OGTT time preference of women (before hospital discharge vs. 6-to-12 weeks postpartum).

If our results are in line with our Stage-1 data, most redundant 6-to-24 weeks postpartum OGTT will be avoided. Medical practice will change.",,COMPLETED,,2014-12,2018-12-31,2017-12-31,INTERVENTIONAL,NA,NA,SINGLE_GROUP,NONE,DIAGNOSTIC,228,ACTUAL
